stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
4795,34910,"Mineral Springs Road & Harlem Road",,42.864448,-78.786771,1,0
4797,34720,"Millersport Highway & North Forest Road",,43.007688,-78.773513,1,0
4798,34360,"Military Road & Prince of Peace Church",,43.086520,-78.964882,1,0
4799,34730,"Millersport Highway & North Forest Road",,43.008310,-78.773560,1,0
4800,34740,"North French Road & Millersport Highway",,43.034808,-78.748421,1,0
4801,34750,"North French Road & Millersport Highway",,43.034608,-78.748161,1,0
4802,34770,"Millersport Highway & Sheridan Drive",,42.978929,-78.799533,1,0
4803,34780,"Millersport Highway & Smith Road",,43.053160,-78.727623,1,0
4804,34790,"Millersport Highway & Smith Road",,43.053719,-78.727363,1,0
4805,34800,"Millersport Highway & Sylvan Parkway",,43.011330,-78.771114,1,0
4806,34810,"Millersport Highway & Sylvan Parkway",,43.011658,-78.770893,1,0
4807,34700,"Millersport Highway & New Road",,43.055738,-78.724921,1,0
4808,34843,"Mineral Springs Road & Barnsdale Avenue",,42.863697,-78.783854,1,0
4809,34710,"Millersport Highway & New Road",,43.056780,-78.724173,1,0
4810,34920,"Mineral Springs Road & Harlem Road",,42.864229,-78.786063,1,0
4811,34930,"Mineral Springs Road & Indian Church Road",,42.854487,-78.771610,1,0
4812,34940,"Mineral Springs Road & Knox Avenue",,42.863289,-78.782923,1,0
4813,34980,"Mineral Springs Road & Royal Coach Road",,42.860020,-78.778763,1,0
4814,35000,"Mineral Springs Road & Seneca Avenue",,42.858458,-78.813112,1,0
4815,35010,"Mineral Springs Road & Seneca Avenue",,42.858409,-78.812892,1,0
4816,35050,"Mohawk Street & Ellicott Street",,42.886869,-78.872002,1,0
4817,35051,"Monteagle Street & McKoon Avenue",,43.114720,-79.054880,1,0
4818,35060,"Moon Walk & Colvin Boulevard",,43.015399,-78.847841,1,0
4819,35065,"Moon Walk & Colvin Boulevard",,43.015410,-78.848080,1,0
4821,34820,"Millersport Highway & Transit Road",,43.082749,-78.696773,1,0
4822,34540,"5275 Millersport Highway",,43.074679,-78.705143,1,0
4825,34410,"Military Road & St. Mary's Hospital",,43.154089,-79.030923,1,0
4830,34490,"4070 Millersport Highway",,43.049488,-78.731842,1,0
4831,34500,"4091 Millersport Highway",,43.049669,-78.731301,1,0
4832,34510,"4840 Millersport Highway",,43.065979,-78.714570,1,0
4833,34520,"4855 Millersport Highway",,43.065960,-78.714203,1,0
4834,34530,"5230 Millersport Highway",,43.074408,-78.705783,1,0
4835,34690,"Millersport Highway & Miller Road",,43.030139,-78.752842,1,0
4836,34570,"Millersport Highway & Campbell Boulevard",,43.015029,-78.768492,1,0
4837,34650,"Millersport Highway & Hartford Road",,42.980918,-78.797692,1,0
4838,34581,"Millersport Highway & Campbell Boulevard",,43.015640,-78.768371,1,0
4839,34610,"Millersport Highway & Dodge Road",,43.024050,-78.759362,1,0
4840,34680,"Millersport Highway & Miller Road",,43.029550,-78.753312,1,0
4841,34670,"Millersport Highway & Hopkins Road",,43.044109,-78.737483,1,0
4842,34620,"Millersport Highway & Dodge Road",,43.024450,-78.759081,1,0
4843,34660,"Millersport Highway & Hopkins Road",,43.043158,-78.738361,1,0
4844,34580,"Millersport Highway & Campbell Boulevard",,43.017369,-78.766883,1,0
4879,55495,"Vulcan Street & Kenmore Avenue",,42.966279,-78.899094,1,0
4880,24564,"Holtz Road & BNIA Park & Ride",,42.938627,-78.718002,1,0
4882,36370,"Delaware Avenue & Niagara Square",,42.885789,-78.878262,1,0
4883,52745,"3271 Transit Road",,42.856649,-78.697031,1,0
4884,53555,"Transit Road & Seneca Creek Road",,42.855710,-78.697104,1,0
4885,53043,"Transit Road & Bank of America",,42.848829,-78.698311,1,0
4886,53550,"Transit Road & Seneca Creek Road",,42.855509,-78.696833,1,0
4887,52740,"3270 Transit Road",,42.856628,-78.696852,1,0
4888,28130,"LaRiviere Drive & 40 Waterfront Village",,42.880909,-78.883011,1,0
4890,32385,"Marine Drive & Marine Drive Apts West",,42.878629,-78.881912,1,0
4894,26920,"Kenmore Extension & Military Road",,42.961029,-78.889602,1,0
4895,26910,"Kenmore Extension & Military Road",,42.960837,-78.889262,1,0
4897,26913,"Kenmore Extension & Doyle Avenue",,42.963408,-78.894982,1,0
4898,26914,"Kenmore Extension & Doyle Avenue",,42.963169,-78.894602,1,0
4899,42864,"Plaza Drive & Lancelot Drive",,43.084119,-78.933881,1,0
4904,56987,"2040 Wehrle Drive",,42.956628,-78.717802,1,0
4905,36829,"North Forest Road & Weinberg Campus East Dr.",,43.013530,-78.783972,1,0
4906,36824,"Weinberg Driveway & Weinberg Campus (1)",,43.013768,-78.785701,1,0
4907,36827,"Weinberg Driveway & Weinberg Campus (4)",,43.016788,-78.788640,1,0
4908,36828,"North Forest Road & Weinberg Campus Main Ent.",,43.015550,-78.786181,1,0
4909,36826,"Weinberg Driveway & Weinberg Campus (3)",,43.015640,-78.789321,1,0
4912,46327,"Seneca Street & Bellwood Avenue",,42.842458,-78.788912,1,0
4913,46323,"Seneca Street & Bellwood Avenue",,42.842578,-78.788821,1,0
4914,50842,"Rainbow Boulevard & Michael O'Laughlin Drive",,43.087199,-79.063223,1,0
4925,50820,"Rainbow Boulevard & Main Street",,43.085898,-79.063153,1,0
9853,34414,"Military Road & St. Mary's Hospital",,43.153878,-79.030792,1,0
9854,34412,"Military Road & OLOP Nursing Care",,43.153659,-79.035721,1,0
9857,42225,"Perry Street & Louisiana Street",,42.873579,-78.863621,1,0
9859,46960,"Seneca Street & Main Street",,42.831420,-78.774782,1,0
9860,46910,"Seneca Street & Lind Avenue",,42.836750,-78.775443,1,0
9865,26675,"Kenmore Avenue & Military Road",,42.958519,-78.888802,1,0
9869,37765,"Niagara Falls Boulevard & East Robinson Road",,43.035869,-78.822913,1,0
9870,38003,"Niagara Falls Boulevard & North French Road",,43.034257,-78.822513,1,0
9871,38007,"Niagara Falls Boulevard & North French Road",,43.034488,-78.822953,1,0
9901,36700,"North Forest Road & John J Audubon Parkway",,43.010469,-78.778402,1,0
9906,36710,"North Forest Road & John J Audubon Parkway",,43.010620,-78.778603,1,0
9919,38495,"Niagara Falls Boulevard & Williams Road",,43.099229,-78.941443,1,0
9922,31105,"Main Street & Park Club Lane",,42.960339,-78.760701,1,0
9923,44520,"Rockwell Road & Academic Drive",,42.931938,-78.883721,1,0
9931,14018,"Spindrift Drive & Wehrle Drive",,42.956708,-78.714911,1,0
9936,8771,"Cleveland Circle & Cleveland Hall",,42.932840,-78.881043,1,0
9940,6627,"Buff State Driveway & Tower 4",,42.936347,-78.884931,1,0
9941,6626,"Buff State Driveway & Tower 1",,42.936090,-78.882761,1,0
9942,56982,"Wegman's Driveway & Wegmans",,42.938899,-78.883180,1,0
9943,52684,"Tops Driveway & Tops Parking Lot",,42.937079,-78.890480,1,0
9948,18370,"Forest Avenue & Richmond Avenue",,42.927798,-78.881122,1,0
9949,43783,"Richmond Avenue & West Delavan Avenue",,42.922298,-78.881481,1,0
9951,43687,"Richmond Avenue & Potomac Avenue",,42.924238,-78.881281,1,0
9952,43683,"Richmond Avenue & Forest Avenue",,42.927628,-78.881082,1,0
9953,43675,"Richmond Avenue & Bird Avenue",,42.926088,-78.881040,1,0
9956,10610,"Colvin Avenue & Crescent Avenue",,42.943168,-78.856663,1,0
9957,11420,"Court Street & Franklin Street",,42.886179,-78.876891,1,0
9964,195,"3rd Street & Wendel Way",,43.087060,-79.059002,1,0
9977,4268,"Big Tree Road & Loring Avenue",,42.772079,-78.843152,1,0
9978,4315,"Big Tree Road & Winter Garden Apartments",,42.772178,-78.850972,1,0
9983,4283,"Big Tree Road & Robin Lane",,42.772079,-78.839232,1,0
9987,4266,"Big Tree Road & Eaglecrest Drive",,42.772098,-78.847422,1,0
9996,18690,"Northampton Street & East High School",,42.907268,-78.836801,1,0
9998,18230,"Fillmore Avenue & William Street",,42.885310,-78.839304,1,0
10003,19272,"Fuhrmann Boulevard & NFTA Boat Harbor",,42.847919,-78.861803,1,0
10007,17413,"Ferry Street & Niagara Street",,42.915209,-78.899243,1,0
10050,20000,"Genesee Street & Fox Street",,42.899409,-78.846003,1,0
10056,20940,"Genesee Street & Transit Road",,42.937729,-78.697263,1,0
10070,37992,"Niagara Falls Boulevard & Kenmore Avenue",,42.958470,-78.823753,1,0
10071,35181,"Niagara Street & Riverside Park",,42.955009,-78.910441,1,0
10098,50826,"Rainbow Boulevard & John B Daly Blvd",,43.083549,-79.052911,1,0
